y,stat_type,class_Acidimicrobiia,class_Alphaproteobacteria,class_Bacteroidia,class_Chlamydiia,class_Cyanobacteriia,class_Fibrobacteria,class_Gammaproteobacteria,class_Marinisomatia,class_Nitrososphaeria,class_Poseidoniia,class_SAR324,class_UBA1144,class_UBA4151,class_UBA796,class_XYA12-FULL-58-9,domain_Archaea,domain_Bacteria,phylum_Actinomycetota,phylum_Bacteroidota,phylum_Chlamydiota,phylum_Cyanobacteriota,phylum_Desulfobacterota_D,phylum_Fibrobacterota,phylum_Marinisomatota,phylum_Myxococcota,phylum_Pseudomonadota,phylum_SAR324,phylum_Thermoplasmatota,phylum_Thermoproteota
-62.5,mean,1.90329966836817,106.219390726994,56.6237570328878,0.161896669101019,17.1063436688973,0.151074851669257,58.1873103176571,3.69792607547539,1.43806005967832,5.56514010572145,0.79839592401348,0.142029153800663,0.0459923588762466,0.0990452367672914,0.0595247804035319,6.24990137305403,201.089173409361,3.2282245417443,56.4004846847686,0.161896669101019,27.6959902095467,0.142029153800663,0.151074851669257,4.06910453295111,0.250292827205141,242.465464723201,0.79839592401348,4.56686261031661,1.4304005012658
-62.5,sd,4.28391460408149,93.8454679744879,9.75270221170002,0.127989384854936,18.5693283555501,0.0882421102263733,12.9879585339839,4.70951110220204,1.6656853733356,7.55105812286215,0.660839537566475,0.276611485680952,0.0518943541718231,0.160503427004736,0.0664491870747893,8.50235431997457,109.399529178965,4.78089348768353,9.70360810743054,0.127989384854936,35.1634419197487,0.276611485680952,0.0882421102263733,5.08367550320694,0.345457469727292,164.902046091125,0.660839537566475,6.68858280969661,1.66917948508202
-61.5,mean,2.10985560242193,114.046791397698,56.6341322780644,0.157692374434832,16.6121850715204,0.150292190767576,59.869737679847,4.15753219786321,1.57778148025383,6.01368213067423,0.857323380200313,0.165037249505759,0.0451573477980007,0.0979296076489398,0.0571631583262372,6.76812961681048,213.229183366743,3.44272926494425,56.427899467611,0.157692374434832,27.5993395391194,0.165037249505658,0.150292190767576,4.52718070140715,0.249489573752908,250.720896121827,0.857323380200313,5.10609206552951,1.56865428319914
-61.5,sd,4.33682904826735,95.3371274426157,10.2017772082411,0.126333289854006,18.0001131145324,0.0882262901123994,13.0071300040319,4.9774207851845,1.77863141200685,7.62867869908868,0.682137761188693,0.294297705046572,0.0505588713876401,0.158374755059666,0.0622498399287249,8.72507695428099,109.61668475623,4.9415359562907,10.1156506105943,0.126333289854006,35.0705818229079,0.294297705046609,0.0882262901123994,5.2680042453954,0.339698661743268,162.423892219722,0.682137761188693,6.9131345827136,1.77764652805657
-60.5,mean,2.39525667938537,120.888491326078,56.7814926096692,0.151932437933631,16.2975436629232,0.152158961224059,61.24022827699,4.65995944592229,1.74299500962201,6.42180743665876,0.909606172944356,0.204886652379276,0.0460368051982986,0.0962781714211563,0.0578283501831236,7.26071178039517,223.440986042844,3.81333396763394,56.5950733450488,0.151932437933631,27.6259118796184,0.204886652379276,0.152158961224059,5.01517949534676,0.261135894068724,258.205252762653,0.909606172944356,5.60839953943278,1.73448626201946
-60.5,sd,4.45753599609167,96.9825379602355,11.1859898250991,0.121188447780644,17.747531775889,0.0895908612177284,13.5523573023603,5.30491287176653,1.93930925203697,7.75263784144065,0.713157490329596,0.328414149185509,0.0519665654177966,0.15550395808688,0.0611932164548076,8.98823262290821,112.806622261771,5.21537037377561,11.0887127808084,0.121188447780644,35.0686225483509,0.328414149185509,0.0895908612177284,5.53627683001379,0.353247393357902,160.64528625979,0.713157490329596,7.15996749642819,1.93851721411153
-59.5,mean,2.80287476162317,127.460564523017,57.4370891796394,0.141813434403725,15.7456004761886,0.158356407679149,62.9409705595005,5.30418440046181,1.99562671316622,7.15100837383143,0.972044504718844,0.265002566924173,0.0467091817253282,0.109488067062297,0.0609108601607588,8.15138486606586,235.075445568659,4.3467680812243,57.2721059068771,0.141813434403725,27.4650120528657,0.265002566924173,0.158356407679149,5.62218222418833,0.28508744059624,265.931164155421,0.972044504718844,6.37820107083385,1.98902164837452
-59.5,sd,4.67031884926995,98.8404343905987,12.1747635101295,0.111731199748451,17.2417458710563,0.0949336014173317,14.199779070166,5.7110168866019,2.14120055023783,8.01354999075002,0.756692439770345,0.377723231031288,0.053929872271996,0.16599890919984,0.0629622077491209,9.44913671204712,117.065154968566,5.56840656899792,12.0573843629112,0.111731199748451,35.0449476075096,0.377723231031288,0.0949336014173317,5.85852209115014,0.375966215162436,159.076279713472,0.756692439770345,7.51079664268776,2.14167065455968
-58.5,mean,3.32570453365864,136.520265278077,58.1307494278768,0.131571597839908,15.2233850254321,0.161694948435466,64.8745427638833,6.11919058382275,2.28826121627255,8.11723122463618,1.04641717826122,0.334403311299982,0.0477880113890321,0.123333942243131,0.0649287468351238,9.24767832141297,249.916906349426,4.97970561288627,57.9880033131243,0.131571597839908,27.3046910706372,0.334403311299982,0.161694948435466,6.40299469559288,0.31643738602707,276.35005698987,1.04641717826122,7.41906840982389,2.27992736421535
-58.5,sd,4.91152463643824,100.668236816109,13.1755205772846,0.101998402587817,16.7269890450054,0.0958721063686807,14.8767103910771,6.17140506298269,2.31862857436019,8.27189619174646,0.801743696063358,0.419593296677521,0.0542793103674927,0.17226980218507,0.0648022555045581,9.9089355099942,120.669184848196,5.93463543640098,13.0178977245212,0.101998402587817,35.0311347753933,0.419593296677521,0.0958721063686807,6.23459100086105,0.400444380950218,156.497909513288,0.801743696063358,7.85724331237537,2.31878100710986
